button_choice,action_choice,coordinate_choice,reward,cumulative_reward,rt,total_trial_time,iti,block_n,trial_n
R,U,"[2, 1]",1.0,3.0,0.178070068359375,1.7339320182800293,0.5625429591912015,23.0,141.0
Y,R,"[2, 2]",1.0,4.0,0.17472386360168457,1.5571458339691162,0.3864606423560354,23.0,142.0
R,U,"[1, 2]",1.0,5.0,0.16831612586975098,1.5407829284667969,0.3606516372850551,23.0,143.0
Y,R,"[1, 3]",1.0,6.0,0.19702506065368652,1.936798095703125,0.7471715384411365,23.0,144.0
,,"(3, 3)",,,,,,23.0,
B,L,"[3, 2]",1.0,1.0,0.19526886940002441,3.0781209468841553,0.5255730630007991,,145.0
B,L,"[3, 1]",1.0,2.0,0.1633288860321045,1.8890209197998047,0.7310537471831146,24.0,146.0
R,U,"[2, 1]",1.0,3.0,0.17246794700622559,1.7525649070739746,0.5670229772614673,24.0,147.0
Y,R,"[2, 2]",-1.0,3.0,0.0058400630950927734,5.422627925872803,0.2900669596017238,24.0,148.0
R,U,"[1, 2]",1.0,4.0,0.2445211410522461,1.7121667861938477,0.4687020792445589,24.0,149.0
Y,R,"[1, 3]",1.0,5.0,0.17649102210998535,1.5492539405822754,0.36818965943600473,24.0,150.0
,,"(3, 3)",,,,,,24.0,
B,L,"[3, 2]",1.0,1.0,0.19433903694152832,2.9525718688964844,0.5706169625810534,,151.0
B,L,"[3, 1]",1.0,2.0,0.14650201797485352,1.8746662139892578,0.7284234218034874,25.0,152.0
R,U,"[2, 1]",1.0,3.0,0.1831200122833252,1.9504048824310303,0.7453886258690304,25.0,153.0
Y,R,"[2, 2]",1.0,4.0,0.21456289291381836,1.856529951095581,0.6521079923488273,25.0,154.0
R,U,"[1, 2]",1.0,5.0,0.1813950538635254,1.9109230041503906,0.7296481871996405,25.0,155.0
B,L,"[1, 1]",-1.0,4.0,0.6398680210113525,2.3713090419769287,0.7177400226156673,25.0,156.0
,,"(3, 3)",,,,,,25.0,
B,L,"[3, 2]",1.0,1.0,0.492901086807251,3.583786964416504,0.7181610676005838,,157.0
B,L,"[3, 1]",1.0,2.0,0.19218683242797852,1.9393880367279053,0.7408740716121416,26.0,158.0
R,U,"[2, 1]",1.0,3.0,0.1989600658416748,1.5507090091705322,0.3586371087836878,26.0,159.0
Y,R,"[2, 2]",1.0,4.0,0.2529489994049072,1.946824073791504,0.6885096094704739,26.0,160.0
R,U,"[1, 2]",1.0,5.0,0.17882800102233887,1.8376359939575195,0.6597022986148332,26.0,161.0
Y,R,"[1, 3]",1.0,6.0,0.17769503593444824,1.8526740074157715,0.6788898928811228,26.0,162.0
,,"(3, 3)",,,,,,26.0,
B,L,"[3, 2]",1.0,1.0,0.16970610618591309,4.026338815689087,0.37217824661233023,,163.0
B,L,"[3, 1]",1.0,2.0,0.18450403213500977,1.7083430290222168,0.5138267920890703,27.0,164.0
